Time(s),Velocity(m/s),Acceleration(m/s/s)
0,0,0
5,2.24,0.44704
10,8.05,1.62
15,9.83,0.356
20,12.07,0.448
25,10.73,-0.2682
30,8.94,-0.358
35,7.15,-0.358
40,5.81,-0.268
45,2.68,-0.626
50,0,-0.536
55,0,0
60,1.34,0.268
65,6.26,0.984
70,5.36,-0.18
75,0,-1.072
80,0,0
85,3.58,0.716
90,7.6,0.804
95,10.73,0.626
100,7.6,-0.626
105,1.34,-1.252
110,0,-0.268
115,0,0
120,0,0
125,7.15,1.43
130,9.83,0.536
135,10.73,0.18
140,12.52,0.358
145,13.41,0.178
150,14.31,0.18
155,12.07,-0.448
160,9.83,-0.448
165,4.47,-1.07
170,0,-0.894
175,0,0
180,0,0
185,0,0
190,0,0
195,4.47,0.894
200,8.49,0.804
205,10.28,0.358
210,7.6,-0.536
215,7.6,0
220,5.36,-0.448
225,4.47,-0.178
230,8.49,0.804
235,9.83,0.268
240,8.94,-0.178
245,8.94,0
250,5.81,-0.626
255,0,-1.162
260,0,0
265,0,0
270,0,0
275,0,0
280,0,0
285,0.447,0.089
290,0,-0.089
295,3.58,0.716
300,6.71,0.626